Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
31 launch,10,742,606,918,918,918,562,918,0.000%,.74901,1.39,0.43
32 launch,5,315,317,320,323,323,306,323,0.000%,.39367,0.67,0.16
34 login,10,446,323,937,937,946,315,946,60.000%,.78709,1.03,0.62
36 login,2,316,309,323,323,323,309,323,0.000%,.38001,0.43,0.19
35 login,2,302,300,305,305,305,300,305,0.000%,.38066,0.65,0.19
37 Click_flights,4,771,333,1231,1231,1231,310,1231,0.000%,.64735,2.51,0.66
38 Click_flights,2,578,577,580,580,580,577,580,0.000%,.36036,0.62,0.18
39 Click_flights,2,320,320,321,321,321,320,321,0.000%,.37807,1.67,0.19
42 continue1,4,327,327,327,327,327,327,327,0.000%,.75500,1.98,0.62
43 continue1,4,329,323,336,336,336,323,336,0.000%,.75372,2.17,0.54
44 continue3,4,321,319,323,323,323,319,323,0.000%,.75358,2.08,0.64
45 logout,4,599,312,891,891,891,306,891,0.000%,.68027,1.26,0.46
46 logout,2,580,579,582,582,582,579,582,0.000%,.35874,0.61,0.14
Debug Sampler,2,1,1,1,1,1,1,1,0.000%,.40080,0.23,0.00
TOTAL,57,474,327,914,937,1210,1,1231,10.526%,4.16423,8.67,2.68
